City,Country,Latitude,Longitude,complete_years,uncertainty_max_months,variability_max_months,exact_match,circular_distance,uncertainty_tie,variability_tie,split
Craiova,Romania,44.20N,24.60E,97,1,1,True,0,False,False,development
Crawley,United Kingdom,50.63N,1.27W,97,1,1,True,0,False,False,development
Czestochowa,Poland,50.63N,19.01E,97,1,1,True,0,False,False,development
Dahuk,Iraq,36.17N,43.76E,35,12,12,True,0,False,False,development
Dallas,United States,32.95N,96.70W,30,12,2,False,2,False,False,development
Damascus,Syria,32.95N,35.43E,41,12,12,True,0,False,False,development
Dasoguz,Turkmenistan,40.99N,59.64E,23,1,12,False,1,False,False,development
Debrecen,Hungary,47.42N,22.50E,97,1,1,True,0,False,False,development
Dehri,India,24.92N,83.35E,43,1,1,True,0,False,False,development
Dehui,China,44.20N,125.22E,28,12,1,False,1,False,False,development
Dekernes,Egypt,31.35N,32.04E,43,12,3,False,3,False,False,development
Delhi,India,28.13N,77.27E,43,3,1,False,2,False,False,development
Denizli,Turkey,37.78N,28.47E,95,1,1,True,0,False,False,development
Denton,United States,32.95N,96.70W,30,12,2,False,2,False,False,development
Denver,United States,39.38N,104.05W,29,12,2,False,2,False,False,development
Derbent,Russia,42.59N,48.00E,49,1,12,False,1,False,False,development
Detroit,United States,42.59N,82.91W,83,1,2,False,1,False,False,development
Dhaka,Bangladesh,23.31N,90.00E,43,1,1,True,0,False,False,development
Dhanbad,India,23.31N,86.50E,43,1,1,True,0,False,False,development
Dharan,Nepal,26.52N,87.76E,43,1,1,True,0,False,False,development
Dhaulpur,India,26.52N,77.01E,43,2,1,False,1,False,False,development
Dijon,France,47.42N,5.92E,97,1,1,True,0,False,False,development
Dimitrovgrad,Russia,53.84N,50.45E,95,1,12,False,1,False,False,development
Dinajpur,Bangladesh,24.92N,88.67E,43,3,1,False,2,False,False,development
Dingzhou,China,39.38N,114.45E,28,2,12,False,2,False,False,development
Dortmund,Germany,52.24N,7.88E,97,1,1,True,0,False,False,development
Dresden,Germany,50.63N,13.94E,97,2,1,False,1,False,False,development
Drobeta Turnu Severin,Romania,44.20N,22.36E,97,1,1,True,0,False,False,development
Dublin,Ireland,53.84N,6.82W,97,1,1,True,0,False,False,development
Dudley,United Kingdom,52.24N,2.63W,97,2,1,False,1,False,False,development
Duisburg,Germany,50.63N,6.34E,97,1,1,True,0,False,False,development
Dum Dum,India,23.31N,88.25E,43,1,1,True,0,False,False,development
Dundee,United Kingdom,57.05N,4.43W,97,1,1,True,0,False,False,development
Durham,United States,36.17N,79.56W,81,1,2,False,1,False,False,development
Düsseldorf,Germany,50.63N,6.34E,97,1,1,True,0,False,False,development
Eastbourne,United Kingdom,50.63N,1.27E,97,1,1,True,0,False,False,development
Ede,Netherlands,52.24N,5.26E,97,1,1,True,0,False,False,development
Edirne,Turkey,42.59N,26.18E,97,1,12,False,1,False,False,development
Edison,United States,40.99N,74.56W,81,1,2,False,1,False,False,development
Edmonton,Canada,53.84N,113.18W,27,12,1,False,1,False,False,development
Ekibastuz,Kazakhstan,52.24N,76.20E,29,1,1,True,0,False,False,development
El Faiyûm,Egypt,29.74N,31.38E,38,12,3,False,3,False,False,development
El Mahalla El Kubra,Egypt,31.35N,32.04E,43,12,3,False,3,False,False,development
El Progreso,Honduras,15.27N,87.50W,21,12,12,True,0,False,False,development
Elbasan,Albania,40.99N,19.17E,97,1,1,True,0,False,False,development
Elektrostal,Russia,55.45N,39.69E,97,1,12,False,1,False,False,development
Eluru,India,16.87N,80.37E,43,2,1,False,1,False,False,development
Engels,Russia,50.63N,46.90E,95,2,12,False,2,False,False,development
Enschede,Netherlands,52.24N,7.88E,97,1,1,True,0,False,False,development
Erfurt,Germany,50.63N,11.41E,97,1,1,True,0,False,False,development
Esenyurt,Turkey,40.99N,27.69E,97,1,12,False,1,False,False,development
Eslamshahr,Iran,36.17N,51.71E,22,1,12,False,1,False,False,development
Etah,India,28.13N,79.09E,43,3,1,False,2,False,False,development
Etawah,India,26.52N,78.81E,43,3,1,False,2,False,False,development
Evansville,United States,37.78N,87.46W,81,1,2,False,1,False,False,development
Exeter,United Kingdom,50.63N,3.80W,97,1,1,True,0,False,False,development
Faizabad,India,26.52N,82.39E,43,1,1,True,0,False,False,development
Faridpur,Bangladesh,23.31N,90.00E,43,1,1,True,0,False,False,development
Farrukhabad,India,28.13N,79.09E,43,3,1,False,2,False,False,development
Fatehpur,India,26.52N,80.60E,43,1,1,True,0,False,False,development
Fayetteville,United States,34.56N,79.78W,81,1,2,False,1,False,False,development
Ferrara,Italy,44.20N,11.18E,97,1,1,True,0,False,False,development
Fez,Morocco,34.56N,5.84W,97,1,1,True,0,False,False,development
Forlì,Italy,44.20N,11.18E,97,1,1,True,0,False,False,development
Fort Lauderdale,United States,26.52N,80.60W,70,1,12,False,1,False,False,development
Fort Wayne,United States,40.99N,85.21W,83,1,2,False,1,False,False,development
Fort Worth,United States,32.95N,96.70W,30,12,2,False,2,False,False,development
Frankfurt,Germany,50.63N,8.87E,97,1,1,True,0,False,False,development
Freiburg,Germany,47.42N,8.29E,97,2,1,False,1,False,False,development
Fuenlabrada,Spain,40.99N,4.26W,97,1,1,True,0,False,False,development
